Objects
100
,,Global Angle (Quaternion) px4 bachelor:px4 bachelor,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
75,0,-0.006640,0.042113,0.119171,0.991958,1998.592651,2974.022705,757.825623
76,0,-0.007921,0.041849,0.119689,0.991897,1998.497314,2974.078613,757.840759
77,0,-0.007710,0.040099,0.118872,0.992070,1998.583008,2973.918213,757.931946
78,0,-0.006690,0.040423,0.118924,0.992058,1998.606689,2973.923828,757.897766
79,0,-0.005729,0.040947,0.118900,0.992045,1998.626587,2973.906006,757.821411
80,0,-0.005072,0.041194,0.118959,0.992031,1998.657593,2973.861328,757.706726
81,0,-0.004539,0.041176,0.119024,0.992027,1998.663208,2973.789551,757.583313
82,0,-0.004010,0.041146,0.119023,0.992030,1998.642212,2973.712402,757.479004
83,0,-0.002617,0.040194,0.119729,0.991989,1998.616089,2973.679199,757.449036
84,0,-0.001434,0.039635,0.119497,0.992042,1998.574707,2973.585449,757.442322
85,0,-0.000442,0.038718,0.120321,0.991980,1998.520508,2973.577393,757.422180
86,0,0.000095,0.037831,0.121287,0.991896,1998.431519,2973.578857,757.388245
87,0,0.000323,0.038228,0.120948,0.991922,1998.530762,2973.612549,757.356018
88,0,0.000827,0.035452,0.122864,0.991790,1998.513184,2973.665039,757.435547
89,0,0.001017,0.033731,0.124095,0.991696,1998.513184,2973.716553,757.478149
90,0,0.000185,0.033312,0.124365,0.991677,1998.453979,2973.727539,757.467346
91,0,-0.000253,0.035776,0.122242,0.991855,1998.546631,2973.723145,757.440796
92,0,-0.000605,0.037238,0.120960,0.991959,1998.594360,2973.736084,757.444702
93,0,-0.000800,0.038106,0.120186,0.992020,1998.627686,2973.753662,757.462219
94,0,-0.000949,0.038722,0.119660,0.992059,1998.655396,2973.776123,757.474365
95,0,-0.001162,0.039123,0.119391,0.992076,1998.671387,2973.794434,757.477356
96,0,-0.001299,0.039062,0.119674,0.992044,1998.622925,2973.799316,757.470703
97,0,-0.001814,0.039574,0.119587,0.992033,1998.628784,2973.810791,757.444031
98,0,-0.002346,0.040106,0.119450,0.992027,1998.640747,2973.799072,757.400574
99,0,-0.002468,0.040355,0.119292,0.992036,1998.640381,2973.757324,757.355103
