dataset,method,trajectory_file,mae (m),rmse (m),mean (m),median (m),max (m),min (m),std (m),sse,avg_cpu (%),avg_mem (%)
V1_02_medium,ORB-SLAM3,OrbSlam3TUM_trim.txt,0.077958,0.089105,0.077958,0.061924,0.348695,0.027994,0.043154,2.921801,14.03,16.4
V1_02_medium,VI-Stereo-DSO,nt_V1_02_medium_trim.txt,37.653849,48.774586,37.653849,26.2404,163.750708,13.456673,31.002385,2709635.747,12.83,13.73
V1_02_medium,OKVIS2,tum_okvis2_trim.txt,0.038638,0.041263,0.038638,0.03815,0.0852,0.006038,0.014481,1.671954,31.09,69.04
V1_02_medium,RVIO,tum_rvio_trim.txt,0.166109,0.181007,0.166109,0.15144,0.365134,0.022471,0.071912,52.356324,0.3,8.36
V1_02_medium,ORB-SLAM3_2,OrbSlam3TUM_mono2_trim.txt,0.080099,0.101521,0.080099,0.066679,0.683137,0.033606,0.062375,3.380537,7.98,21.46
V1_02_medium,ORB-SLAM3_3,OrbSlam3TUM_mono3_trim.txt,0.07294,0.076614,0.07294,0.066914,0.13007,0.029597,0.02344,1.872416,7.63,14.83
V1_03_difficult,VINS-Mono,tum_vinsmono_trim.txt,0.166826,0.187474,0.166826,0.144838,0.375309,0.013765,0.085531,34.900376,2.2,17.19
V1_03_difficult,VINS-Fusion,tum_vinsfusion_trim.txt,0.146947,0.157949,0.146947,0.140253,0.280888,0.027922,0.057918,24.598642,1.3,11.72
V1_03_difficult,Kimera,tum_kimera_trim.txt,0.135767,0.15155,0.135767,0.124254,0.33984,0.021841,0.06734,11.529614,4.88,77.28
V1_03_difficult,SVO,svo_traj_tum_trim.txt,0.08239,0.09695,0.08239,0.074498,0.837498,0.008614,0.051099,17.313506,4.34,13.17
V1_03_difficult,Maplab,tum_maplab_trim.txt,0.126733,0.135625,0.126733,0.126231,0.316673,0.020701,0.048298,18.467581,2.58,12.3
V1_03_difficult,ORB-SLAM3,OrbSlam3TUM_trim.txt,0.068027,0.07924,0.068027,0.07228,0.284173,0.001955,0.040636,2.241597,13.12,16.57
V1_03_difficult,VI-Stereo-DSO,nt_V1_03_difficult_trim.txt,9.307026,18.252241,9.307026,5.449747,106.346519,1.842139,15.701069,666288.5823,12.91,13.73
V1_03_difficult,OKVIS2,tum_okvis2_trim.txt,0.071399,0.07945,0.071399,0.068148,0.167411,0.00204,0.034849,5.554851,26.76,71.99
V1_03_difficult,RVIO,tum_rvio_trim.txt,0.162316,0.177,0.162316,0.158756,0.420196,0.011227,0.070585,62.939696,0.3,8.96
V1_03_difficult,ORB-SLAM3_2,OrbSlam3TUM_mono2_trim.txt,0.058118,0.061568,0.058118,0.059941,0.129686,0.013859,0.020321,1.402528,7.79,21.77
V1_03_difficult,ORB-SLAM3_3,OrbSlam3TUM_mono3_trim.txt,0.05383,0.059902,0.05383,0.049642,0.152246,0.015271,0.026279,1.403003,8.19,15.23
V2_01_easy,VINS-Mono,tum_vinsmono_trim.txt,0.071274,0.086252,0.071274,0.059174,0.227002,0.012823,0.048575,7.997448,2.21,16.9
V2_01_easy,VINS-Fusion,tum_vinsfusion_trim.txt,0.094948,0.116168,0.094948,0.072849,0.404758,0.007925,0.066933,14.520654,1.39,11.74
V2_01_easy,Kimera,tum_kimera_trim.txt,0.134773,0.155422,0.134773,0.125343,0.296929,0.014237,0.07741,13.237551,6.08,77.47
V2_01_easy,SVO,svo_traj_tum_trim.txt,0.086813,0.146648,0.086813,0.068828,2.002256,0.003048,0.118192,44.775016,4.45,13
V2_01_easy,Maplab,tum_maplab_trim.txt,0.118347,0.141899,0.118347,0.097573,0.28233,0.015594,0.07829,22.048232,2.6,12.51
V2_01_easy,ORB-SLAM3,OrbSlam3TUM_trim.txt,0.05737,0.064404,0.05737,0.050289,0.141478,0.009432,0.029266,1.281686,13.41,16.77
V2_01_easy,VI-Stereo-DSO,nt_V2_01_easy_trim.txt,0.231959,0.238736,0.231959,0.229794,0.441503,0.133197,0.05648,123.336911,15.48,12.57
V2_01_easy,OKVIS2,tum_okvis2_trim.txt,0.107101,0.129305,0.107101,0.104091,0.604193,0.008309,0.072452,15.499277,22.01,74.53
V2_01_easy,RVIO,tum_rvio_trim.txt,0.134241,0.154023,0.134241,0.11976,0.619994,0.00951,0.075514,51.929964,0.3,9.02
V2_01_easy,ORB-SLAM3_2,OrbSlam3TUM_mono2_trim.txt,0.918418,1.983542,0.918418,0.568244,14.972366,0.093887,1.758109,1109.512245,7.65,21.74
V2_01_easy,ORB-SLAM3_3,OrbSlam3TUM_mono3_trim.txt,1.60608,3.010736,1.60608,1.091581,21.945819,0.121536,2.546574,2791.876178,8.04,15.12
V2_02_medium,VINS-Mono,tum_vinsmono_trim.txt,0.138127,0.15798,0.138127,0.117333,0.558926,0.012701,0.076672,27.902666,2.3,17.34
V2_02_medium,VINS-Fusion,tum_vinsfusion_trim.txt,0.133504,0.168017,0.133504,0.093966,0.585632,0.019915,0.102013,31.53277,1.4,41.64
V2_02_medium,Kimera,tum_kimera_trim.txt,0.188153,0.204078,0.188153,0.182214,0.353078,0.024141,0.079034,23.656038,5.07,77.29
V2_02_medium,SVO,svo_traj_tum_trim.txt,0.087908,0.095814,0.087908,0.08174,0.799823,0.011122,0.038113,20.683324,2.81,11.83
V2_02_medium,Maplab,tum_maplab_trim.txt,0.135554,0.144708,0.135554,0.139583,0.320467,0.009681,0.05065,23.767316,2.6,12.3
V2_02_medium,ORB-SLAM3,OrbSlam3TUM_trim.txt,2.97797,4.487117,2.97797,1.834124,19.628499,0.362258,3.356473,17375.83074,14.47,17.37
V2_02_medium,VI-Stereo-DSO,nt_V2_02_medium_trim.txt,0.194121,0.223211,0.194121,0.166827,0.585197,0.05662,0.110182,111.504052,16.19,12.31
V2_02_medium,OKVIS2,tum_okvis2_trim.txt,0.061509,0.066065,0.061509,0.05852,0.131595,0.008767,0.024107,4.093934,20.34,77.4
V2_02_medium,RVIO,tum_rvio_trim.txt,0.23491,0.25875,0.23491,0.216039,0.575594,0.010179,0.108485,151.979636,0.3,9.11
V2_02_medium,ORB-SLAM3_2,OrbSlam3TUM_mono2_trim.txt,0.381312,0.426356,0.381312,0.346635,1.200914,0.040412,0.190737,118.883713,8.63,22.15
V2_02_medium,ORB-SLAM3_3,OrbSlam3TUM_mono3_trim.txt,0.529297,0.557278,0.529297,0.542712,0.974404,0.067352,0.174364,221.117751,8.44,15.52
V2_03_difficult,VINS-Mono,tum_vinsmono_trim.txt,0.242282,0.277477,0.242282,0.220251,0.607668,0.032406,0.13525,83.999635,2.3,17.32
V2_03_difficult,VINS-Fusion,tum_vinsfusion_trim.txt,0.150285,0.160029,0.150285,0.141474,0.354388,0.044673,0.054989,22.536226,1.49,11.74
V2_03_difficult,Kimera,tum_kimera_trim.txt,0.442151,0.495122,0.442151,0.394346,0.884888,0.111377,0.222818,136.055833,4.52,77.49
V2_03_difficult,SVO,svo_traj_tum_trim.txt,0.147861,0.168482,0.147861,0.139838,1.849214,0.009938,0.080768,49.789544,4.53,13.22
V2_03_difficult,Maplab,tum_maplab_trim.txt,0.156002,0.163309,0.156002,0.144282,0.317282,0.060135,0.048304,29.603492,2.6,12.27
V2_03_difficult,ORB-SLAM3,OrbSlam3TUM_trim.txt,552.222638,663.204268,552.222638,516.502369,1806.131924,5.485845,367.273819,454794457.4,23.05,14.74
V2_03_difficult,VI-Stereo-DSO,nt_V2_03_difficult_trim.txt,0.200253,0.209843,0.200253,0.195949,0.428042,0.028293,0.062713,78.733257,16.28,13.48
V2_03_difficult,OKVIS2,tum_okvis2_trim.txt,0.471708,0.526864,0.471708,0.444849,1.152504,0.075637,0.234685,252.04791,20.21,80.53
V2_03_difficult,RVIO,tum_rvio_trim.txt,0.341368,0.378334,0.341368,0.321844,0.848363,0.026191,0.163107,259.935514,0.3,8.81
V2_03_difficult,ORB-SLAM3_2,OrbSlam3TUM_mono2_trim.txt,303.291436,387.038337,303.291436,252.195964,1252.059823,7.942781,240.443297,126280282.4,4.57,13.84
V2_03_difficult,ORB-SLAM3_3,OrbSlam3TUM_mono3_trim.txt,30.057725,47.328039,30.057725,18.620515,208.800834,6.584089,36.557851,1948750.671,6.48,15.62
