dataset,method,offset,mae (m),rmse (m),mean (m),median (m),max (m),min (m),std (m),sse,avg_cpu (%),avg_mem (MB),,winners
AUDrone1,ORB-SLAM3,0.65,0.735637,0.840045,0.735637,0.767202,1.529501,0.111805,0.405603,102.322985,,,,0
AUDrone2,ORB-SLAM3,1.75,0.73717,0.793813,0.73717,0.732046,1.309462,0.145653,0.294481,190.301917,,,,0
AUDrone1,ORB-SLAM3_2,0.6,0.738258,0.836244,0.738258,0.767889,1.577793,0.125976,0.392782,95.105261,,,,0
AUDrone2,ORB-SLAM3_2,1.75,0.739315,0.785782,0.739315,0.805359,1.186282,0.174448,0.266209,135.839781,,,,0
AUDrone2,ORB-SLAM3_2,-0.75,0.739735,0.788558,0.739735,0.739765,1.511477,0.253154,0.27316,138.666832,,,,0
AUDrone2,ORB-SLAM3,-0.7,0.749096,0.829432,0.749096,0.760588,1.797783,0.119407,0.356107,211.202853,,,,0
AUDrone1,ORB-SLAM3,0.7,0.750517,0.858347,0.750517,0.787214,1.560315,0.124883,0.416514,106.830107,,,,0
AUDrone1,ORB-SLAM3_2,0.65,0.751726,0.852879,0.751726,0.783578,1.611482,0.127082,0.402878,98.926836,,,,0
AUDrone2,ORB-SLAM3,1.8,0.763393,0.82269,0.763393,0.749289,1.356173,0.145396,0.306676,204.399075,,,,0
AUDrone1,ORB-SLAM3,0.75,0.763979,0.87457,0.763979,0.803775,1.590441,0.136298,0.425686,110.906525,,,,0
AUDrone2,ORB-SLAM3_2,1.8,0.765502,0.813986,0.765502,0.830581,1.228202,0.159542,0.276731,147.091331,,,,0
AUDrone1,ORB-SLAM3_2,0.7,0.765836,0.869623,0.765836,0.797075,1.64579,0.128448,0.411994,102.849235,,,,0
AUDrone2,ORB-SLAM3_2,-0.8,0.767265,0.817629,0.767265,0.762712,1.556326,0.264858,0.282527,148.410949,,,,0
AUDrone3,ORB-SLAM3,0.4,0.771429,1.549165,0.771429,0.461286,10.166255,0.114887,1.343432,484.782451,,,,0
AUDrone1,ORB-SLAM3,0.8,0.77778,0.891592,0.77778,0.819395,1.625,0.139325,0.435883,115.265658,,,,0
AUDrone2,ORB-SLAM3,-0.75,0.77926,0.862013,0.77926,0.796331,1.849945,0.128296,0.368539,227.378344,,,,0
AUDrone1,ORB-SLAM3_2,0.75,0.779651,0.8863,0.779651,0.813354,1.68088,0.130532,0.421511,106.831772,,,,0
AUDrone3,ORB-SLAM3,0.45,0.781571,1.55298,0.781571,0.475557,10.169771,0.116769,1.341975,487.173173,,,,0
AUDrone2,ORB-SLAM3,1.85,0.788069,0.850328,0.788069,0.767745,1.412165,0.153055,0.31938,219.086362,,,,0
AUDrone3,ORB-SLAM3,0.5,0.790271,1.554101,0.790271,0.489999,10.175784,0.114689,1.338172,490.29196,,,,0
AUDrone1,ORB-SLAM3,0.85,0.790671,0.907233,0.790671,0.83463,1.65743,0.126843,0.444871,119.345315,,,,0
AUDrone2,ORB-SLAM3_2,1.85,0.791201,0.842174,0.791201,0.858058,1.273698,0.144921,0.288543,158.164151,,,,0
AUDrone1,ORB-SLAM3_2,0.8,0.793407,0.902765,0.793407,0.839641,1.713554,0.132558,0.430685,110.837802,,,,0
AUDrone2,ORB-SLAM3_2,-0.85,0.794361,0.846825,0.794361,0.78341,1.6075,0.272562,0.293435,159.916184,,,,0
AUDrone3,ORB-SLAM3,-0.1,0.799774,1.722112,0.799774,0.45157,11.416771,0.175994,1.525133,604.99642,,,,0
AUDrone3,ORB-SLAM3,0.55,0.801494,1.558781,0.801494,0.500902,10.179792,0.117147,1.336938,493.248895,,,,0
AUDrone1,ORB-SLAM3,0.9,0.803198,0.922323,0.803198,0.849418,1.687882,0.112185,0.45338,123.34866,,,,0
AUDrone3,ORB-SLAM3,0,0.805605,1.726188,0.805605,0.491912,11.418274,0.157645,1.526672,604.884405,,,,0
AUDrone3,ORB-SLAM3,-0.05,0.806491,1.729205,0.806491,0.478029,11.411684,0.174797,1.529615,604.010319,,,,0
AUDrone1,ORB-SLAM3_2,0.85,0.806993,0.919027,0.806993,0.850104,1.743351,0.134721,0.439741,114.866942,,,,0
AUDrone3,ORB-SLAM3,0.05,0.808589,1.727125,0.808589,0.497355,11.421426,0.128846,1.526153,605.540767,,,,0
AUDrone3,ORB-SLAM3,0.85,0.810498,1.42547,0.810498,0.567126,9.042774,0.113405,1.172628,410.456649,,,,0
AUDrone2,ORB-SLAM3,-0.8,0.810757,0.895846,0.810757,0.831349,1.907163,0.140637,0.381068,243.169669,,,,0
AUDrone3,ORB-SLAM3,0.1,0.812541,1.728389,0.812541,0.513593,11.424221,0.107083,1.525485,606.427794,,,,0
AUDrone3,ORB-SLAM3,0.15,0.81478,1.726491,0.81478,0.525137,11.431438,0.090948,1.522138,608.077497,,,,0
AUDrone2,ORB-SLAM3,1.9,0.815255,0.879464,0.815255,0.787591,1.452651,0.181185,0.329873,233.58381,,,,0
AUDrone3,ORB-SLAM3,0.6,0.815498,1.566975,0.815498,0.51855,10.180948,0.12236,1.338048,495.99265,,,,0
AUDrone1,ORB-SLAM3,0.95,0.816525,0.938957,0.816525,0.873999,1.715682,0.098385,0.463602,127.837868,,,,0
AUDrone2,ORB-SLAM3_2,1.9,0.817514,0.870643,0.817514,0.889036,1.313814,0.135591,0.299483,169.038232,,,,0
AUDrone1,ORB-SLAM3_2,0.9,0.820407,0.935197,0.820407,0.859575,1.774016,0.136704,0.448916,118.944741,,,,0
AUDrone2,ORB-SLAM3_2,-0.9,0.822658,0.876698,0.822658,0.809174,1.665841,0.28435,0.303039,170.62907,,,,0
AUDrone3,ORB-SLAM3,0.2,0.823376,1.732009,0.823376,0.522249,11.431353,0.072698,1.523781,608.970875,,,,0
AUDrone3,ORB-SLAM3,0.9,0.826806,1.435783,0.826806,0.581118,9.044869,0.120347,1.173825,414.355919,,,,0
AUDrone3,ORB-SLAM3,0.65,0.827101,1.57207,0.827101,0.534294,10.185117,0.127526,1.336902,499.22362,,,,0
AUDrone3,ORB-SLAM3,0.25,0.827158,1.730654,0.827158,0.513416,11.438615,0.058782,1.520188,611.013138,,,,0
AUDrone1,ORB-SLAM3,1,0.829023,0.954397,0.829023,0.898776,1.740783,0.083198,0.472859,132.076733,,,,0
AUDrone1,ORB-SLAM3_2,0.95,0.833548,0.951017,0.833548,0.87433,1.805897,0.138677,0.457855,123.003023,,,,0
AUDrone3,ORB-SLAM3,0.3,0.834546,1.733146,0.834546,0.504782,11.44201,0.0673,1.518989,612.774235,,,,0
AUDrone3,ORB-SLAM3,0.7,0.836918,1.574461,0.836918,0.538412,10.191798,0.130784,1.333602,503.222252,,,,0
AUDrone2,ORB-SLAM3,-0.85,0.837232,0.925407,0.837232,0.845479,1.973242,0.14315,0.394235,262.051793,,,,0
AUDrone3,ORB-SLAM3,0.95,0.838842,1.440748,0.838842,0.59928,9.051337,0.122871,1.171366,419.302527,,,,0
AUDrone2,ORB-SLAM3,1.95,0.840823,0.907647,0.840823,0.811583,1.507647,0.16131,0.341819,248.794499,,,,0
AUDrone1,ORB-SLAM3,1.05,0.841789,0.9703,0.841789,0.906728,1.76976,0.068829,0.482569,136.514834,,,,0
AUDrone2,ORB-SLAM3_2,1.95,0.84364,0.898834,0.84364,0.918312,1.354285,0.134819,0.310121,180.162305,,,,0
AUDrone1,ORB-SLAM3_2,1,0.84663,0.966919,0.84663,0.891154,1.834928,0.140367,0.467066,127.15092,,,,0
AUDrone3,ORB-SLAM3,0.75,0.851984,1.58374,0.851984,0.551978,10.194343,0.138589,1.335049,506.662922,,,,0
AUDrone2,ORB-SLAM3_2,-0.95,0.852167,0.907522,0.852167,0.83566,1.718549,0.297968,0.312101,182.014764,,,,0
AUDrone1,ORB-SLAM3,1.1,0.854103,0.985633,0.854103,0.913628,1.808381,0.057115,0.491914,140.863451,,,,0
AUDrone3,ORB-SLAM3,1,0.855678,1.451685,0.855678,0.614554,9.053841,0.131117,1.172691,423.585074,,,,0
AUDrone1,ORB-SLAM3_2,1.05,0.859294,0.982402,0.859294,0.906373,1.86251,0.13848,0.476158,131.255352,,,,0
AUDrone3,ORB-SLAM3,0.8,0.862271,1.58663,0.862271,0.575619,10.200886,0.142548,1.331872,511.031073,,,,0
AUDrone1,ORB-SLAM3,1.15,0.866108,1.000488,0.866108,0.928656,1.846021,0.05016,0.500834,145.141626,,,,0
AUDrone2,ORB-SLAM3,2,0.867565,0.936621,0.867565,0.842068,1.565118,0.137525,0.352973,264.055135,,,,0
AUDrone3,ORB-SLAM3,1.05,0.867704,1.456797,0.867704,0.627246,9.059697,0.136033,1.170191,428.695872,,,,0
AUDrone2,ORB-SLAM3,-0.9,0.868017,0.958661,0.868017,0.877477,2.038088,0.151869,0.406913,279.385562,,,,0
AUDrone2,ORB-SLAM3_2,2,0.870594,0.927148,0.870594,0.946299,1.38828,0.141636,0.318855,190.83183,,,,0
AUDrone1,ORB-SLAM3_2,1.1,0.872354,0.998413,0.872354,0.925079,1.886921,0.125893,0.48562,135.568648,,,,0
AUDrone1,ORB-SLAM3,1.2,0.877853,1.015127,0.877853,0.94309,1.881318,0.046751,0.509761,149.420075,,,,0
AUDrone2,ORB-SLAM3_2,-1,0.880683,0.937313,0.880683,0.865341,1.773839,0.310401,0.320863,194.160866,,,,0
AUDrone3,ORB-SLAM3,1.1,0.882196,1.465067,0.882196,0.644637,9.06453,0.141542,1.169681,433.577399,,,,0
AUDrone1,ORB-SLAM3_2,1.15,0.885314,1.01399,0.885314,0.951486,1.918451,0.112921,0.494361,139.831797,,,,0
AUDrone1,ORB-SLAM3,1.25,0.889475,1.029429,0.889475,0.960752,1.913031,0.048537,0.518224,153.659848,,,,0
AUDrone3,ORB-SLAM3,1.3,0.893561,1.362891,0.893561,0.716237,8.027671,0.140097,1.029087,371.494341,,,,0
AUDrone1,ORB-SLAM3,1.3,0.895065,1.037442,0.895065,0.938225,1.948035,0.050336,0.524542,154.985087,,,,0
AUDrone2,ORB-SLAM3,-0.95,0.896282,0.98999,0.896282,0.912999,2.100059,0.158743,0.420426,297.944318,,,,0
AUDrone3,ORB-SLAM3,1.15,0.896745,1.473544,0.896745,0.660312,9.06881,0.142586,1.169265,438.609107,,,,0
AUDrone1,ORB-SLAM3_2,1.2,0.897069,1.028442,0.897069,0.971556,1.956282,0.101138,0.502953,143.84634,,,,0
AUDrone3,ORB-SLAM3,-0.15,0.906587,1.942322,0.906587,0.471958,12.812511,0.230021,1.717765,769.61376,,,,0
AUDrone2,ORB-SLAM3_2,-1.05,0.908622,0.966863,0.908622,0.898285,1.830035,0.32013,0.330499,206.596149,,,,0
AUDrone3,ORB-SLAM3,1.35,0.909229,1.373241,0.909229,0.73956,8.03236,0.140842,1.029122,377.157908,,,,0
AUDrone1,ORB-SLAM3_2,1.25,0.910199,1.04443,0.910199,0.988738,1.992773,0.091619,0.512224,148.353558,,,,0
AUDrone3,ORB-SLAM3,1.2,0.911604,1.482349,0.911604,0.669144,9.073614,0.14545,1.168904,443.866573,,,,0
AUDrone1,ORB-SLAM3,1.35,0.911978,1.056581,0.911978,0.987815,1.979104,0.046097,0.533533,161.872579,,,,0
AUDrone1,ORB-SLAM3_2,1.3,0.922443,1.059167,0.922443,1.007578,2.02573,0.084736,0.520512,152.569463,,,,0
AUDrone3,ORB-SLAM3,1.4,0.923023,1.381458,0.923023,0.754707,8.037893,0.142088,1.02784,383.593533,,,,0
AUDrone2,ORB-SLAM3,-1,0.923471,1.020258,0.923471,0.937098,2.15841,0.164523,0.433737,317.482749,,,,0
AUDrone1,ORB-SLAM3,1.4,0.923712,1.071017,0.923712,0.998903,2.008866,0.050633,0.542064,166.326125,,,,0
AUDrone3,ORB-SLAM3,1.25,0.928864,1.494268,0.928864,0.664782,9.07712,0.148922,1.170491,448.800456,,,,0
AUDrone1,ORB-SLAM3_2,1.35,0.934267,1.073318,0.934267,1.022641,2.056131,0.081232,0.528352,156.673588,,,,0
AUDrone1,ORB-SLAM3,1.45,0.934366,1.083733,0.934366,1.006299,2.037329,0.053677,0.549033,170.299175,,,,0
AUDrone2,ORB-SLAM3_2,-1.1,0.937455,0.996851,0.937455,0.926824,1.879113,0.334323,0.338952,218.616411,,,,0
AUDrone3,ORB-SLAM3,1.45,0.93898,1.392339,0.93898,0.784346,8.042583,0.144514,1.028068,389.660145,,,,0
AUDrone1,ORB-SLAM3,1.5,0.94509,1.096487,0.94509,1.011803,2.066329,0.043683,0.555959,174.331298,,,,0
AUDrone1,ORB-SLAM3_2,1.4,0.946113,1.087513,0.946113,1.035805,2.08682,0.080088,0.536242,160.845131,,,,0
AUDrone2,ORB-SLAM3,-1.05,0.952814,1.05215,0.952814,0.967018,2.21563,0.173121,0.44628,337.641115,,,,0
AUDrone3,ORB-SLAM3,1.5,0.954386,1.403026,0.954386,0.813886,8.047498,0.148703,1.028411,395.664856,,,,0
AUDrone1,ORB-SLAM3,1.55,0.955138,1.108494,0.955138,1.016772,2.09234,0.038147,0.562557,178.170115,,,,0
AUDrone1,ORB-SLAM3_2,1.45,0.957493,1.101091,0.957493,1.046666,2.114926,0.081606,0.5437,164.886698,,,,0
AUDrone1,ORB-SLAM3_2,1.5,0.962479,1.109163,0.962479,1.034009,2.143744,0.081912,0.551251,166.082799,,,,0
AUDrone2,ORB-SLAM3_2,-1.15,0.962971,1.024701,0.962971,0.948017,1.931378,0.3389,0.350283,233.102523,,,,0
AUDrone1,ORB-SLAM3,1.6,0.965917,1.121121,0.965917,1.019753,2.116887,0.039643,0.569136,182.252315,,,,0
AUDrone3,ORB-SLAM3,1.55,0.970054,1.413962,0.970054,0.833677,8.052355,0.150735,1.028729,401.856888,,,,0
AUDrone1,ORB-SLAM3,1.65,0.976088,1.132768,0.976088,1.02343,2.138832,0.048946,0.574818,186.058786,,,,0
AUDrone1,ORB-SLAM3_2,1.55,0.978939,1.126395,0.978939,1.068077,2.168811,0.084924,0.557174,172.552115,,,,0
AUDrone2,ORB-SLAM3,-1.1,0.98428,1.085851,0.98428,1.008732,2.268798,0.190446,0.458545,356.07958,,,,0
AUDrone1,ORB-SLAM3,1.7,0.985101,1.143063,0.985101,1.025388,2.162189,0.06428,0.579802,189.456142,,,,0
AUDrone3,ORB-SLAM3,1.6,0.986211,1.425531,0.986211,0.845353,8.057387,0.153981,1.029334,408.459985,,,,0
AUDrone1,ORB-SLAM3_2,1.6,0.990064,1.139648,0.990064,1.078324,2.193826,0.088315,0.564422,176.636586,,,,0
AUDrone2,ORB-SLAM3_2,-1.2,0.990735,1.054004,0.990735,0.974021,1.974499,0.349151,0.359678,246.625042,,,,0
AUDrone3,ORB-SLAM3,1.75,0.9949,1.348686,0.9949,0.878247,7.532891,0.166067,0.910564,361.971607,,,,0
AUDrone1,ORB-SLAM3,1.75,0.995258,1.154878,0.995258,1.025323,2.18315,0.081188,0.585836,193.392688,,,,0
AUDrone1,ORB-SLAM3_2,1.65,1.000059,1.151273,1.000059,1.086199,2.216772,0.096328,0.570362,180.258565,,,,0
AUDrone3,ORB-SLAM3,1.65,1.001775,1.436761,1.001775,0.859974,8.062343,0.158021,1.029916,414.920555,,,,0
AUDrone1,ORB-SLAM3,1.8,1.004028,1.164877,1.004028,1.023819,2.198106,0.100164,0.59065,196.756191,,,,0
AUDrone3,ORB-SLAM3,1.8,1.008993,1.359301,1.008993,0.899926,7.537923,0.169632,0.910841,369.539733,,,,0
AUDrone1,ORB-SLAM3_2,1.7,1.009737,1.162695,1.009737,1.096862,2.241068,0.10723,0.576447,183.852905,,,,0
AUDrone2,ORB-SLAM3,-1.15,1.011305,1.115707,1.011305,1.037967,2.325229,0.19642,0.471238,378.420081,,,,0
AUDrone1,ORB-SLAM3,1.85,1.012865,1.174929,1.012865,1.021545,2.219796,0.120017,0.595452,200.166473,,,,0
AUDrone1,ORB-SLAM3_2,1.75,1.013292,1.168853,1.013292,1.086858,2.265762,0.133344,0.58263,184.439372,,,,0
AUDrone2,ORB-SLAM3_2,-1.25,1.016907,1.082091,1.016907,0.998497,2.020691,0.354327,0.369893,261.115492,,,,0
AUDrone3,ORB-SLAM3,1.7,1.019487,1.450602,1.019487,0.872836,8.067242,0.166324,1.031937,420.849424,,,,0
AUDrone1,ORB-SLAM3,1.9,1.020733,1.184085,1.020733,1.017801,2.238458,0.138935,0.600135,203.298462,,,,0
AUDrone1,ORB-SLAM3,1.95,1.022533,1.187488,1.022533,0.989377,2.259627,0.168058,0.603783,203.058238,,,,0
AUDrone3,ORB-SLAM3,1.85,1.026203,1.373612,1.026203,0.92637,7.54321,0.177162,0.913081,375.475297,,,,0
AUDrone1,ORB-SLAM3_2,1.8,1.028751,1.184695,1.028751,1.124225,2.279401,0.130609,0.587515,190.876387,,,,0
AUDrone1,ORB-SLAM3,2,1.035987,1.201793,1.035987,1.01422,2.276448,0.175454,0.60913,209.424552,,,,0
AUDrone1,ORB-SLAM3_2,1.85,1.037472,1.195078,1.037472,1.136094,2.302212,0.142489,0.593181,194.23681,,,,0
AUDrone3,ORB-SLAM3,1.9,1.040198,1.38448,1.040198,0.93546,7.548015,0.180584,0.913659,383.35674,,,,0
AUDrone2,ORB-SLAM3,-1.2,1.043339,1.149615,1.043339,1.069002,2.37887,0.207082,0.482761,399.127591,,,,0
AUDrone2,ORB-SLAM3_2,-1.3,1.044611,1.111284,1.044611,1.02841,2.077921,0.353634,0.37913,275.394091,,,,0
AUDrone1,ORB-SLAM3_2,1.9,1.046011,1.205136,1.046011,1.147683,2.321902,0.15392,0.598511,197.520094,,,,0
AUDrone1,ORB-SLAM3_2,1.95,1.054665,1.215284,1.054665,1.160724,2.341239,0.164613,0.603819,200.860594,,,,0
AUDrone3,ORB-SLAM3,1.95,1.05607,1.397463,1.05607,0.952871,7.553301,0.187597,0.915215,390.580434,,,,0
AUDrone1,ORB-SLAM3_2,2,1.056615,1.220051,1.056615,1.145218,2.364436,0.133152,0.609991,200.95085,,,,0
AUDrone2,ORB-SLAM3,-1.25,1.068485,1.177942,1.068485,1.092734,2.433047,0.212299,0.49587,419.039302,,,,0
AUDrone2,ORB-SLAM3_2,-1.35,1.072591,1.140686,1.072591,1.060134,2.132091,0.332229,0.388219,290.159826,,,,0
AUDrone3,ORB-SLAM3,2,1.073162,1.411911,1.073162,0.973113,7.558786,0.196039,0.917505,396.70484,,,,0
AUDrone2,ORB-SLAM3,-1.3,1.099571,1.210962,1.099571,1.112768,2.495031,0.222623,0.50732,444.328247,,,,0
AUDrone2,ORB-SLAM3_2,-1.4,1.10041,1.169461,1.10041,1.093093,2.177032,0.340651,0.395902,302.248281,,,,0
AUDrone3,ORB-SLAM3,-0.25,1.115292,2.309481,1.115292,0.524224,12.888022,0.343717,2.022331,1104.076196,,,,0
AUDrone3,ORB-SLAM3,-0.3,1.116601,2.310151,1.116601,0.518809,12.884758,0.338602,2.022375,1104.717118,,,,0
AUDrone3,ORB-SLAM3,-0.35,1.11854,2.311335,1.11854,0.530367,12.882333,0.316881,2.022656,1105.849706,,,,0
AUDrone3,ORB-SLAM3,-0.2,1.118622,2.313699,1.118622,0.551983,12.88579,0.348912,2.025311,1102.75938,,,,0
AUDrone3,ORB-SLAM3,-0.4,1.120655,2.312633,1.120655,0.555112,12.879694,0.299223,2.022969,1107.092212,,,,0
AUDrone3,ORB-SLAM3,-0.5,1.126074,2.316197,1.126074,0.603143,12.874933,0.260682,2.024037,1110.507062,,,,0
AUDrone3,ORB-SLAM3,-0.45,1.127169,2.318581,1.127169,0.583307,12.871217,0.273081,2.026155,1107.418086,,,,0
AUDrone2,ORB-SLAM3,-1.35,1.128444,1.242124,1.128444,1.143364,2.550378,0.229622,0.51912,467.490294,,,,0
AUDrone2,ORB-SLAM3_2,-1.45,1.129673,1.199643,1.129673,1.125775,2.218359,0.381584,0.403709,316.611316,,,,0
AUDrone3,ORB-SLAM3,-0.55,1.133074,2.322515,1.133074,0.626928,12.866172,0.249771,2.027368,1111.179768,,,,0
AUDrone3,ORB-SLAM3,-0.65,1.137084,2.323298,1.137084,0.634285,12.86793,0.220611,2.026019,1117.327028,,,,0
AUDrone3,ORB-SLAM3,-0.6,1.140442,2.329064,1.140442,0.640683,12.857394,0.239364,2.030747,1112.030965,,,,0
AUDrone3,ORB-SLAM3,-0.7,1.14508,2.330214,1.14508,0.633077,12.858895,0.215692,2.029455,1118.559085,,,,0
AUDrone3,ORB-SLAM3,-0.75,1.150069,2.333329,1.150069,0.65617,12.856728,0.201687,2.030213,1121.55149,,,,0
AUDrone2,ORB-SLAM3_2,-1.5,1.158726,1.229926,1.158726,1.153326,2.255554,0.38578,0.412399,328.259946,,,,0
AUDrone3,ORB-SLAM3,-0.8,1.158881,2.340557,1.158881,0.660295,12.847257,0.200025,2.033519,1123.031991,,,,0
AUDrone2,ORB-SLAM3,-1.4,1.161233,1.276679,1.161233,1.171398,2.614553,0.239362,0.530515,488.972862,,,,0
AUDrone3,ORB-SLAM3,-0.85,1.161814,2.340354,1.161814,0.669581,12.852675,0.195151,2.031611,1128.315039,,,,0
AUDrone3,ORB-SLAM3,-0.9,1.168715,2.344129,1.168715,0.678141,12.850122,0.197795,2.032005,1131.9576,,,,0
AUDrone3,ORB-SLAM3,-0.95,1.176204,2.348153,1.176204,0.694573,12.847882,0.199274,2.03233,1135.847725,,,,0
AUDrone3,ORB-SLAM3,-1,1.181851,2.348812,1.181851,0.712334,12.853481,0.203214,2.029814,1142.00164,,,,0
AUDrone2,ORB-SLAM3_2,-1.55,1.183974,1.256395,1.183974,1.183266,2.292433,0.387633,0.420399,344.11938,,,,0
AUDrone2,ORB-SLAM3,-1.45,1.189733,1.307498,1.189733,1.205991,2.676095,0.24811,0.542296,512.865051,,,,0
AUDrone3,ORB-SLAM3,-1.05,1.193293,2.357165,1.193293,0.726635,12.844509,0.186132,2.032801,1144.583073,,,,0
AUDrone3,ORB-SLAM3,-1.1,1.205311,2.365722,1.205311,0.744952,12.8356,0.168465,2.035649,1147.310987,,,,0
AUDrone2,ORB-SLAM3_2,-1.6,1.211178,1.284763,1.211178,1.216436,2.338843,0.401824,0.428559,358.183558,,,,0
AUDrone3,ORB-SLAM3,-1.15,1.21375,2.367366,1.21375,0.748817,12.842321,0.141471,2.032544,1154.511055,,,,0
AUDrone2,ORB-SLAM3,-1.5,1.218676,1.33882,1.218676,1.226009,2.739318,0.25931,0.554318,535.939658,,,,0
AUDrone3,ORB-SLAM3,-1.2,1.226788,2.376273,1.226788,0.770368,12.833156,0.130994,2.035108,1157.567724,,,,0
AUDrone2,ORB-SLAM3_2,-1.65,1.236436,1.311656,1.236436,1.238729,2.394634,0.38779,0.437798,375.056279,,,,0
AUDrone3,ORB-SLAM3,-1.25,1.23671,2.378496,1.23671,0.793025,12.840371,0.12286,2.031696,1165.39171,,,,0
AUDrone2,ORB-SLAM3,-1.55,1.246645,1.369229,1.246645,1.256688,2.797392,0.271861,0.566273,560.561724,,,,0
AUDrone3,ORB-SLAM3,-1.3,1.248107,2.381094,1.248107,0.816802,12.847661,0.117056,2.027766,1173.608892,,,,0
AUDrone2,ORB-SLAM3_2,-1.7,1.261995,1.33923,1.261995,1.263512,2.444488,0.390782,0.448226,390.991218,,,,0
AUDrone3,ORB-SLAM3,-1.35,1.26429,2.393768,1.26429,0.84897,12.829581,0.1186,2.032658,1174.675941,,,,0
AUDrone2,ORB-SLAM3,-1.6,1.2742,1.399045,1.2742,1.286081,2.852502,0.281401,0.577701,585.240367,,,,0
AUDrone3,ORB-SLAM3,-1.4,1.277867,2.399799,1.277867,0.838412,12.828014,0.120339,2.031279,1180.602288,,,,0
AUDrone2,ORB-SLAM3_2,-1.75,1.283748,1.362493,1.283748,1.28628,2.490873,0.40634,0.456485,404.69218,,,,0
AUDrone3,ORB-SLAM3,-1.45,1.292968,2.40944,1.292968,0.857506,12.8184,0.127659,2.033134,1184.301874,,,,0
AUDrone2,ORB-SLAM3,-1.65,1.298603,1.426255,1.298603,1.301487,2.900371,0.288762,0.589774,606.192973,,,,0
AUDrone3,ORB-SLAM3,-1.5,1.307139,2.413145,1.307139,0.89843,12.826625,0.138406,2.028462,1193.770318,,,,0
AUDrone2,ORB-SLAM3_2,-1.8,1.309208,1.389051,1.309208,1.311052,2.532097,0.421538,0.464152,422.552321,,,,0
AUDrone3,ORB-SLAM3,-1.55,1.322886,2.420364,1.322886,0.91066,12.826496,0.146887,2.026853,1200.922857,,,,0
AUDrone2,ORB-SLAM3_2,-1.85,1.332407,1.413635,1.332407,1.334728,2.579451,0.410759,0.472288,433.644873,,,,0
AUDrone2,ORB-SLAM3,-1.7,1.33285,1.461886,1.33285,1.334511,2.957704,0.307168,0.600516,632.584373,,,,0
AUDrone3,ORB-SLAM3,-1.6,1.338295,2.424614,1.338295,0.937686,12.835049,0.167651,2.021811,1211.023325,,,,0
AUDrone3,ORB-SLAM3,-1.65,1.354863,2.432126,1.354863,0.952881,12.834534,0.190034,2.019798,1218.538743,,,,0
AUDrone2,ORB-SLAM3,-1.75,1.357736,1.489638,1.357736,1.359132,3.025823,0.310457,0.61284,659.049002,,,,0
AUDrone2,ORB-SLAM3_2,-1.9,1.360739,1.442591,1.360739,1.363416,2.632868,0.408265,0.479019,451.592154,,,,0
AUDrone3,ORB-SLAM3,-1.7,1.3717,2.439933,1.3717,0.956453,12.834267,0.211138,2.017848,1226.37384,,,,0
AUDrone2,ORB-SLAM3,-1.8,1.38047,1.515243,1.38047,1.37644,3.080612,0.317733,0.624711,686.492222,,,,0
AUDrone2,ORB-SLAM3_2,-1.95,1.386331,1.469065,1.386331,1.387314,2.679251,0.422829,0.486044,466.160915,,,,0
AUDrone3,ORB-SLAM3,-1.75,1.388921,2.445054,1.388921,0.98641,12.843339,0.240759,2.012259,1237.505777,,,,0
AUDrone2,ORB-SLAM3,-1.85,1.405027,1.542598,1.405027,1.403416,3.135418,0.325912,0.636795,713.882324,,,,0
AUDrone3,ORB-SLAM3,-1.8,1.40673,2.453386,1.40673,0.997641,12.843261,0.263854,2.010028,1245.954326,,,,0
AUDrone2,ORB-SLAM3_2,-2,1.409793,1.494195,1.409793,1.399232,2.727412,0.421424,0.495077,484.478103,,,,0
AUDrone3,ORB-SLAM3,-1.85,1.424696,2.464539,1.424696,1.025276,12.833105,0.269015,2.011018,1251.234639,,,,0
AUDrone2,ORB-SLAM3,-1.9,1.43713,1.575546,1.43713,1.435117,3.19135,0.338292,0.645759,739.739238,,,,0
AUDrone3,ORB-SLAM3,-1.9,1.443282,2.470704,1.443282,1.049229,12.842696,0.27972,2.005322,1263.606368,,,,0
AUDrone3,ORB-SLAM3,-1.95,1.461264,2.482178,1.461264,1.045307,12.832512,0.284732,2.006468,1269.208363,,,,0
AUDrone2,ORB-SLAM3,-1.95,1.463053,1.604006,1.463053,1.452817,3.244182,0.3511,0.657504,766.705062,,,,0
AUDrone3,ORB-SLAM3,-2,1.479523,2.491171,1.479523,1.060674,12.832343,0.293448,2.004232,1278.422182,,,,0
AUDrone2,ORB-SLAM3,-2,1.484662,1.628556,1.484662,1.478662,3.300595,0.362686,0.669307,795.658245,,,,0
AUDrone3,ORB-SLAM3_2,1.75,1.545781,2.935873,1.545781,0.970567,18.917353,0.334949,2.495979,1715.250954,,,,0
AUDrone3,ORB-SLAM3_2,1.8,1.553747,2.93566,1.553747,0.985938,18.921841,0.335202,2.490776,1723.619543,,,,0
AUDrone3,ORB-SLAM3_2,1.85,1.571261,2.948584,1.571261,0.998933,18.922912,0.340759,2.495052,1730.135366,,,,0
AUDrone3,ORB-SLAM3_2,1.25,1.583633,3.246509,1.583633,0.899399,21.319719,0.124367,2.834065,2107.963724,,,,0
AUDrone3,ORB-SLAM3_2,1.9,1.583805,2.954915,1.583805,1.011765,18.925761,0.344687,2.494611,1737.572938,,,,0
