timestamp,cpu_percent,ram_percent
1748349709,20,73.7702
1748349709,21.6,74.1306
1748349709,21.3,74.129
1748349709,21.6,73.9822
1748349710,20.9,74.3035
1748349710,29.2,74.6541
1748349711,25.5,74.827
1748349711,25.7,74.8277
1748349711,25.5,74.843
1748349711,23.8,74.8562
1748349711,23.4,75.032
1748349712,24.7,75.1357
1748349712,25.6,75.1312
1748349712,25.9,75.1487
1748349712,24,75.1641
1748349713,22.1,75.297
1748349713,25.3,75.4167
1748349713,25.9,75.4158
1748349713,29.8,75.4486
1748349713,24.9,75.4569
1748349714,20.9,75.548
1748349714,13,75.621
1748349714,13.3,75.621
1748349714,12.8,75.6345
1748349714,10.4,75.6393
1748349715,10.3,75.7144
1748349715,11.8,75.7897
1748349715,11.8,75.7897
1748349715,12.7,75.7883
1748349715,11.2,75.7983
1748349716,9.7,75.8607
1748349716,12.8,75.9176
1748349716,12.8,75.9176
1748349717,12.3,75.9232
1748349717,12.2,75.9268
1748349717,9.7,76.0056
1748349718,12.3,76.0539
1748349718,12.2,76.0539
1748349718,13.5,76.0688
1748349718,11.7,76.0795
1748349718,8.9,76.1544
1748349719,12.3,76.2119
1748349719,12.3,76.2119
1748349719,12.3,76.2244
1748349719,11.7,76.2198
1748349720,10.8,76.2725
1748349720,11,76.3169
1748349720,10.9,76.3173
1748349720,13.3,76.358
1748349720,11.7,76.3622
1748349721,11.8,76.4286
1748349721,14.2,76.4766
1748349721,14.2,76.4782
1748349721,15.4,76.4706
1748349721,11.4,76.4773
1748349722,11.2,76.5542
1748349722,13.4,76.6284
1748349722,13.3,76.6284
1748349722,13.9,76.6244
1748349723,14.1,76.6468
1748349723,12.2,76.7186
1748349724,14.1,76.7707
1748349724,14.1,76.7707
1748349724,14.7,76.776
1748349724,13.1,76.7796
1748349724,12.7,76.8265
1748349725,13.5,76.8715
1748349725,13.5,76.8715
1748349725,15.4,76.8861
1748349725,13.3,76.8959
1748349726,13.3,76.978
1748349726,15.2,77.0475
1748349726,15.2,77.0491
1748349726,13.8,77.0695
1748349726,12.6,77.08
1748349727,12.6,77.19
1748349727,14,77.2622
1748349727,14,77.2622
1748349727,15.2,77.2818
1748349727,13.1,77.2867
1748349728,11.3,77.3617
1748349728,12.9,77.3908
1748349728,12.9,77.3908
1748349728,14.4,77.4012
1748349728,14.8,77.4044
1748349729,13.4,77.4759
1748349729,12.9,77.5111
1748349729,12.9,77.511
1748349730,13.8,77.518
1748349730,14.6,77.524
1748349730,11.7,77.5827
1748349731,12.5,77.6443
1748349731,12.5,77.6443
1748349731,15.3,77.6574
1748349731,12.9,77.6716
1748349731,12.7,77.7319
1748349732,13.5,77.7829
1748349732,13.4,77.7844
1748349732,15.3,77.7914
1748349732,12.4,77.8106
1748349733,14.5,77.8856
1748349733,13.5,77.9293
1748349733,13.5,77.9278
1748349733,16.2,77.9355
1748349733,12.8,77.934
1748349734,12.3,78.0192
1748349734,13.1,78.0656
1748349734,12.2,78.0656
1748349734,12.8,78.0793
1748349734,13.4,78.0864
1748349735,12.7,78.169
1748349735,14.2,78.2304
1748349735,14.2,78.2304
1748349735,14.3,78.2472
1748349736,12.8,78.2582
1748349736,12.7,78.3664
1748349737,12.8,78.414
1748349737,12.8,78.4128
1748349737,12,78.4408
1748349737,11.3,78.416
1748349737,12.1,78.5288
1748349738,13.6,78.5982
1748349738,13.6,78.5982
1748349738,15,78.6032
1748349738,13.4,78.6105
1748349738,10.3,78.6693
1748349739,11.7,78.716
1748349739,11.7,78.7172
1748349739,13.8,78.7239
1748349739,12.1,78.7402
1748349740,10.3,78.7802
1748349740,12.6,78.7839
1748349740,12.6,78.7839
1748349740,13.3,78.8538
1748349740,12.4,78.7924
1748349741,10.7,78.8992
1748349741,11.9,78.9474
1748349741,11.9,78.9474
1748349741,13.2,78.9461
1748349741,12.2,78.9507
1748349742,10.3,79.0413
1748349742,11.6,79.0778
1748349742,11.6,79.0778
1748349743,13.6,79.0956
1748349743,11.3,79.099
1748349743,11.2,79.1476
1748349744,13.1,79.1902
1748349744,13.1,79.189
1748349744,15,79.201
1748349744,11.2,79.2022
1748349744,9.3,79.2867
1748349745,13.1,79.3453
1748349745,13.1,79.3453
1748349745,11.9,79.3527
1748349745,13.3,79.3697
1748349746,11.2,79.4328
1748349746,12.8,79.4743
1748349746,12.8,79.4743
1748349746,13.9,79.4766
1748349746,12.8,79.4769
1748349747,10.2,79.5371
1748349747,13.7,79.5927
1748349747,13.7,79.5927
1748349747,13.9,79.6006
1748349747,13.5,79.5987
1748349748,10.6,79.6366
1748349748,12.4,79.6874
1748349748,12.4,79.6874
1748349748,14.2,79.6877
1748349749,10.9,79.6771
1748349749,10.1,79.7207
1748349749,13.1,79.755
1748349749,13.1,79.755
1748349750,14.6,79.7629
1748349750,11.2,79.7684
1748349750,9.7,79.8118
1748349751,13.3,79.8538
1748349751,13.3,79.8538
1748349751,16,79.8797
1748349751,12.6,79.8699
1748349751,11.7,79.9469
1748349752,11.3,79.9783
1748349752,11.3,79.9783
1748349752,13.3,79.9945
1748349752,10.8,79.9889
1748349753,10.8,80.0474
1748349753,14.1,80.1061
1748349753,14.1,80.1061
1748349753,14.5,80.1197
1748349753,13.8,80.1183
1748349754,11.2,80.1709
1748349754,11.9,80.2065
1748349754,12.8,80.2065
1748349754,13.8,80.2186
1748349754,12,80.2164
1748349755,11.5,80.3066
1748349755,12.3,80.3317
1748349755,11.4,80.3317
1748349756,13.3,80.3463
1748349756,12.8,80.3519
1748349756,10.8,80.3943
1748349757,13.6,80.4565
1748349757,13.6,80.4565
1748349757,13.4,80.4664
1748349757,11.7,80.4645
1748349757,10.8,80.5328
1748349758,12.8,80.5815
1748349758,12.8,80.5815
1748349758,15,80.5871
1748349758,12.2,80.5885
1748349759,10.6,80.6608
1748349759,11.2,80.6967
1748349759,11.2,80.6967
1748349759,12.8,80.7059
1748349759,10.6,80.7026
1748349760,11.1,80.7826
1748349760,13.1,80.825
1748349760,13.2,80.8265
1748349760,14.9,80.8402
1748349760,13.7,80.8393
1748349761,12.1,80.9016
1748349761,14.1,80.9301
1748349761,14.1,80.9301
1748349761,14.1,80.9403
1748349762,11.2,80.9436
1748349762,10.1,80.9959
1748349762,12.7,81.0376
1748349762,12.2,81.0355
1748349763,12.7,81.036
1748349763,11.7,81.0366
1748349763,10.6,81.0904
1748349764,13.7,81.1455
1748349764,13.6,81.1455
1748349764,15.2,81.163
1748349764,11.2,81.1623
1748349764,11.6,81.22
1748349765,13.1,81.2445
1748349765,12.7,81.2445
1748349765,13.2,81.2484
1748349765,11.6,81.2571
1748349766,10.8,81.3079
1748349766,13.6,81.3374
1748349766,13.6,81.3374
1748349766,13.2,81.3507
1748349766,12.8,81.3555
1748349767,11.3,81.403
1748349767,13.3,81.4334
1748349767,13.3,81.4322
1748349767,14.4,81.4506
1748349767,10.7,81.4439
1748349768,10.7,81.4972
1748349768,12.8,81.5384
1748349768,13.2,81.5384
1748349769,14.6,81.5548
1748349769,11.3,81.5544
1748349769,11.1,81.6201
1748349770,12.7,81.6868
1748349770,12.7,81.6868
1748349770,13.6,81.6979
1748349770,11.6,81.6951
1748349770,12.1,81.748
1748349771,13.7,81.7874
1748349771,13.7,81.7874
1748349771,12.4,81.7961
1748349771,11.3,81.8026
1748349772,9.8,81.854
1748349772,13.7,81.8723
1748349772,13.6,81.8723
1748349772,14.3,81.8846
1748349772,11.8,81.8837
1748349773,11.3,81.9361
1748349773,13.3,81.9744
1748349773,13.3,81.9744
1748349773,14.5,81.9932
1748349773,14.5,82.0093
1748349774,13.6,82.0827
1748349774,13.8,82.127
1748349774,13.8,82.127
1748349774,12.4,82.1385
1748349774,11.9,82.141
1748349775,12.9,82.184
1748349775,14.4,82.2338
1748349775,14.4,82.2338
1748349776,14.2,82.2464
1748349776,12.4,82.2603
1748349776,12.6,82.3349
1748349777,12.4,82.3911
1748349777,12.4,82.3911
1748349777,12.4,82.3923
1748349777,10.7,82.3997
1748349777,10.9,82.4479
1748349778,14.1,82.5139
1748349778,14.1,82.5155
1748349778,15.5,82.5231
1748349778,12.7,82.5154
1748349779,9.8,82.5777
1748349779,13.1,82.611
1748349779,13.1,82.611
1748349779,13.3,82.6341
1748349779,10.8,82.6093
1748349780,12.1,82.6472
1748349780,13.2,82.6836
1748349780,13.2,82.6836
1748349780,13.2,82.6877
1748349780,12.4,82.6933
1748349781,11.2,82.7216
1748349781,13.6,82.7489
1748349781,13.6,82.7489
1748349781,16.1,82.7749
1748349782,13.9,82.7713
1748349782,13.3,82.8074
1748349783,13.2,82.8372
1748349783,13.2,82.8372
1748349783,13.1,82.8436
1748349783,12.9,82.8525
1748349783,12.6,82.8952
1748349784,13.8,82.935
1748349784,13.8,82.935
1748349784,15,82.946
1748349784,12.8,82.9501
1748349785,13.4,82.9893
