timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
898050887055, -4.818284574166315122e-03, 2.325767729579406181e-04, -8.387527413849673805e-03, 2.713491884525633113e-02, 9.989795129684048147e-01, 2.883434454804226655e-03, -3.599048005258035504e-02, 1.958727473412194900e-02, -1.151305659549756687e-02, -3.579703698766462105e-02, 2.295549067077662462e-03, -1.847280104597909299e-03, 1.560298311666725958e-03, -5.212088546363729706e-06, 2.226568363216607292e-07, 7.070366656325607869e-05, 
898084250193, -4.404184012134847170e-03, -5.240522437155214000e-04, -9.643543328997731048e-03, 2.717944499525963217e-02, 9.989092774444658929e-01, 2.372892065071106199e-03, -3.789330532392713724e-02, 3.140312523226317099e-02, -1.282948609340196430e-02, -3.922578014057814116e-02, 2.460020369492304636e-03, -1.628061130199967652e-03, 1.372286861166057206e-03, -5.727700735017599693e-06, 1.563424373175348460e-08, 7.894295889609919217e-05, 
898117610791, -4.154337870289347666e-03, -3.320290409360174277e-03, -8.997988864641044693e-03, 2.731313298384048169e-02, 9.989613831362494922e-01, 1.383620135440124296e-03, -3.644493606029804850e-02, 2.904698153111213987e-02, -1.887727244027929963e-02, -3.724693313455675753e-02, 2.236496757348255867e-03, -8.587998807552053556e-04, 8.330097394321288144e-04, -4.350027488402337728e-06, -2.199026857322297041e-07, 5.788624664813143798e-05, 
898150983401, -3.294669283002122240e-03, -4.637296341671728189e-03, -1.343011100765124574e-02, 2.733417041931172214e-02, 9.989956592135377234e-01, 2.332046329964645830e-03, -3.542707382655479326e-02, 3.268707050059423830e-02, -2.566292331503118584e-02, -4.591560300617573281e-02, 1.980252362834721957e-03, -1.268222393594149516e-03, 5.956992075052912599e-04, -3.659546643300313594e-06, -6.432532410763292593e-09, 4.770788201213303732e-05, 
898184328351, -2.060322862235539326e-03, -6.784135561709243520e-03, -1.829004871704935364e-02, 2.737723899452012416e-02, 9.989901547410238170e-01, 2.689276038441125709e-03, -3.552358807794493700e-02, 4.054011155705271319e-02, -2.880666884043696016e-02, -5.424919599424570665e-02, 1.458646856805095263e-03, -1.681059412134680055e-03, 3.165395996538608136e-04, -4.690584458689103426e-06, -1.085581155278062723e-07, 6.428141326925241390e-05, 
898217687167, 3.122644719158345229e-03, -9.040247573733941819e-03, -1.876728066201662284e-02, 2.730099655622866134e-02, 9.988975055595997743e-01, 3.861627333269684274e-03, -3.799364168101000000e-02, 6.569920550462277076e-02, -4.120556732834333019e-02, -5.342085235815619004e-02, 1.875082450087562627e-03, -2.016397428784059108e-03, 5.461158271585897896e-04, -4.451102222146615739e-06, -1.517146602122712110e-07, 5.773214936220800845e-05, 
898251047783, 5.312564309702635587e-03, -1.017691793270287387e-02, -2.052852181873347781e-02, 2.732900050858267857e-02, 9.989277281188194690e-01, 3.350288242218599222e-03, -3.721955528038987937e-02, 6.707535880369627779e-02, -4.230514588402995574e-02, -5.677442160151591199e-02, 1.927178342602321390e-03, -1.990536024419694780e-03, 5.949173344704951740e-04, -4.132562012281140281e-06, -1.658997323255221770e-07, 5.286804812450582758e-05, 
898284407905, 9.536774609170720410e-03, -1.050285264751338668e-02, -2.370188687948278361e-02, 2.735602516114941582e-02, 9.989672833595186763e-01, 2.161058974637265415e-03, -3.621249078417646677e-02, 7.239544269470461757e-02, -3.662380405706269770e-02, -6.114285568504518320e-02, 2.597416925353414081e-03, -1.954902209311933786e-03, 8.122715896236520298e-04, -4.759918597728872237e-06, -5.922919755439207738e-08, 6.342591695110227044e-05, 
898317765107, 1.623527734374961840e-02, -1.389240650110539974e-02, -2.149013464748334226e-02, 2.752728303556527256e-02, 9.988407572733419837e-01, -3.396376949567944236e-05, -3.948910159473409398e-02, 1.060493430306487239e-01, -2.739622517219503575e-02, -5.575200181755265993e-02, 2.376471668998218593e-03, -1.447975690034535804e-03, 5.067397278332362543e-04, -4.134491004394373407e-06, -1.862699104320463642e-07, 5.377654992556683676e-05, 
898351129776, 2.881652190644915998e-02, -1.784316055328937292e-02, -2.224763337461214616e-02, 2.746473067693118789e-02, 9.988373471340242782e-01, 8.119487875201383473e-04, -3.961039356374528725e-02, 1.305376900111507865e-01, -3.883971094516042166e-02, -5.526830820040296022e-02, 1.769077838260809917e-03, -6.204092362311180433e-04, 5.208367371645296123e-04, -6.431990850870208667e-06, 2.523559177199053489e-07, 7.782321156226181273e-05, 
898384481638, 3.075906847878730893e-02, -1.905799989000563424e-02, -2.205238192752659657e-02, 2.742754707174367007e-02, 9.989370071678884688e-01, 1.642157870274900313e-03, -3.701200737083278069e-02, 1.177593635185445464e-01, -4.741125845131886896e-02, -5.513703384783306960e-02, 1.833884486521489146e-03, -4.810703899274447167e-04, 5.529680283531405094e-04, -3.110616489823741566e-06, 2.094201101382503690e-07, 3.345744698848402240e-05, 
898417842024, 3.164342795294017296e-02, -1.803233805331721715e-02, -1.928122504571918097e-02, 2.737870868828399043e-02, 9.990259043604097222e-01, 2.150163556463919722e-03, -3.454020156437995898e-02, 1.035865129358787690e-01, -4.879840015719153629e-02, -5.185822139626124899e-02, 1.875048131353426219e-03, -7.966079066031451616e-05, 8.354120417702845004e-04, -7.422880881537265910e-07, 1.397093845920749321e-07, 1.709860075394671237e-07, 
898451248719, 2.811921616384949543e-02, -1.955354973606299868e-02, -1.728178946964985599e-02, 2.720668304893644404e-02, 9.991162023938454650e-01, 2.990453964913110038e-03, -3.190090432352743477e-02, 8.187182076491128502e-02, -5.525920398827971480e-02, -4.867083667269586633e-02, 1.888455156572670232e-03, 1.667359362732025445e-04, 9.975381734802742702e-04, 8.410717659638565223e-07, 7.673971801231356318e-08, -1.958695886490613436e-05, 
898484568108, 2.294424446508495918e-02, -2.310386742909530111e-02, -2.491581121465191034e-02, 2.708408945712554791e-02, 9.991105809151091810e-01, 2.351285051537632502e-03, -3.223306780866395937e-02, 7.859035002624463473e-02, -5.421181151718632713e-02, -5.892302186151685689e-02, 1.981978203077553596e-03, 9.682602976055201187e-07, 1.009333394632822576e-03, 2.993860593098461680e-07, 6.983268078152223254e-08, -1.902362330808567624e-06, 
898517913551, 2.393419964166773606e-02, -2.760214538064155107e-02, -2.677967868069516463e-02, 2.710013291029760713e-02, 9.990607293501657660e-01, 2.123990828959564266e-03, -3.374508156039285334e-02, 9.319241037983135023e-02, -5.796933773207423729e-02, -6.142943496616352916e-02, 1.814980102293245381e-03, -6.279529312850311686e-05, 8.636938589306986059e-04, -5.269721884196234134e-07, -9.641522626478324643e-08, 1.204599904482828544e-05, 
