Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
75,0,-0.007637,0.033950,0.366970,0.929582,2063.608154,2879.129883,756.969360
76,0,-0.007931,0.034889,0.366130,0.929876,2063.465332,2879.092041,756.965027
77,0,-0.006937,0.035547,0.366319,0.929784,2063.443604,2879.149170,756.878662
78,0,-0.006175,0.035984,0.366465,0.929715,2063.465576,2879.161133,756.795105
79,0,-0.006301,0.036869,0.366142,0.929807,2063.472656,2879.040527,756.637878
80,0,-0.006246,0.037404,0.365952,0.929861,2063.518555,2878.974121,756.494202
81,0,-0.006284,0.037693,0.365818,0.929901,2063.578613,2878.921143,756.351318
82,0,-0.006322,0.037872,0.365716,0.929934,2063.628662,2878.862549,756.208435
83,0,-0.005744,0.037521,0.366257,0.929739,2063.583252,2878.794189,756.107544
84,0,-0.005126,0.037357,0.366664,0.929589,2063.578857,2878.742432,756.005981
85,0,-0.004932,0.036736,0.366760,0.929577,2063.476074,2878.633057,756.012756
86,0,-0.004454,0.036213,0.366498,0.929703,2063.590088,2878.492676,756.124023
87,0,-0.003219,0.035030,0.366678,0.929682,2063.707275,2878.514648,756.253784
88,0,-0.002599,0.034266,0.366971,0.929597,2063.687744,2878.547607,756.312744
89,0,-0.002559,0.033401,0.367048,0.929599,2063.581299,2878.555176,756.446228
90,0,-0.002682,0.033462,0.367430,0.929445,2063.477783,2878.680908,756.421326
91,0,-0.002798,0.033548,0.367742,0.929318,2063.385010,2878.786133,756.460876
92,0,-0.002965,0.033513,0.368044,0.929199,2063.264893,2878.907227,756.538574
93,0,-0.003278,0.033312,0.368231,0.929131,2063.128174,2879.036377,756.647339
94,0,-0.003555,0.033139,0.368339,0.929094,2063.010010,2879.137451,756.762756
95,0,-0.003692,0.033113,0.368427,0.929060,2062.965576,2879.176514,756.877258
96,0,-0.003628,0.033361,0.368428,0.929050,2063.011719,2879.166748,756.947937
97,0,-0.004383,0.034598,0.367885,0.929217,2063.071777,2879.047607,756.879272
98,0,-0.004788,0.035503,0.367664,0.929268,2063.184082,2878.962402,756.757935
99,0,-0.004120,0.037539,0.368528,0.928849,2063.207031,2878.897461,756.570374
100,0,-0.004022,0.037936,0.368575,0.928815,2063.271484,2878.822510,756.381165
101,0,-0.004330,0.037537,0.368231,0.928966,2063.261963,2878.731934,756.187744
102,0,-0.005029,0.036948,0.367643,0.929219,2063.188965,2878.611816,756.068115
103,0,-0.005037,0.036765,0.368063,0.929060,2063.114014,2878.710693,755.928528
104,0,-0.004304,0.035347,0.368866,0.928800,2063.044189,2878.877930,756.007263
105,0,-0.004875,0.034388,0.368639,0.928924,2062.947998,2878.901123,756.107117
106,0,-0.006010,0.034086,0.368330,0.929050,2062.935303,2878.965820,756.138855
107,0,-0.007512,0.034633,0.367741,0.929253,2062.988770,2879.001465,756.082825
108,0,-0.009216,0.035659,0.367094,0.929454,2063.081787,2878.995117,755.979309
109,0,-0.009090,0.037619,0.366839,0.929479,2063.458252,2878.957031,755.907959
110,0,-0.008573,0.037984,0.366265,0.929695,2063.634277,2878.809326,755.944214
111,0,-0.007534,0.037822,0.365942,0.929838,2063.702393,2878.628906,755.967224
112,0,-0.006139,0.037240,0.365821,0.929920,2063.680420,2878.428223,755.974976
113,0,-0.003127,0.036958,0.366619,0.929632,2063.469238,2878.358154,755.929260
114,0,-0.002405,0.035522,0.366776,0.929628,2063.435059,2878.192871,755.999268
115,0,-0.002017,0.034298,0.366984,0.929592,2063.354980,2878.102783,756.077576
116,0,-0.002211,0.033305,0.367058,0.929599,2063.257080,2878.068359,756.188721
117,0,-0.002603,0.032773,0.367009,0.929636,2063.126221,2878.109131,756.331055
118,0,-0.003054,0.032691,0.366979,0.929650,2062.976074,2878.234619,756.486816
119,0,-0.003603,0.033086,0.366927,0.929654,2062.820312,2878.415527,756.614014
120,0,-0.004195,0.033568,0.366750,0.929704,2062.718018,2878.581787,756.686707
121,0,-0.004719,0.034270,0.366540,0.929759,2062.696045,2878.672852,756.680664
122,0,-0.004917,0.034894,0.366344,0.929812,2062.770264,2878.657227,756.618713
123,0,-0.005071,0.035455,0.365978,0.929934,2062.936279,2878.533447,756.522522
124,0,-0.005421,0.035758,0.365601,0.930069,2063.153564,2878.329102,756.375061
125,0,-0.005452,0.035853,0.365441,0.930128,2063.349854,2878.065430,756.171326
126,0,-0.005171,0.035612,0.365388,0.930159,2063.475830,2877.795654,755.938049
127,0,-0.004505,0.035360,0.365395,0.930170,2063.494385,2877.592773,755.729370
128,0,-0.004187,0.035269,0.365308,0.930209,2063.491699,2877.493652,755.631775
129,0,-0.005232,0.035242,0.365087,0.930291,2063.549072,2877.475342,755.633789
130,0,-0.002717,0.033967,0.365490,0.930191,2063.373047,2877.447266,755.931824
131,0,-0.003353,0.033999,0.365363,0.930238,2063.354492,2877.606201,756.013245
132,0,-0.003160,0.033640,0.365540,0.930182,2063.236328,2877.702881,756.033203
133,0,-0.002600,0.033512,0.365551,0.930184,2063.075439,2877.680420,755.831421
134,0,-0.001605,0.033739,0.365446,0.930219,2062.920654,2877.531982,755.426208
135,0,-0.000472,0.033776,0.365578,0.930168,2062.868164,2877.277344,754.961182
136,0,0.000777,0.033494,0.365902,0.930050,2062.907471,2876.962402,754.574097
137,0,0.001946,0.033252,0.366422,0.929852,2062.977783,2876.660400,754.323730
138,0,0.002858,0.032839,0.367064,0.929611,2063.020264,2876.429688,754.221313
139,0,-0.005174,0.025937,0.368608,0.929209,2065.653809,2876.098633,754.437500
140,0,-0.010392,0.021522,0.369700,0.928844,2066.497070,2876.024414,754.588135
141,0,-0.014187,0.018796,0.370246,0.928635,2066.652588,2876.034180,754.741211
142,0,-0.016828,0.017334,0.370499,0.928518,2066.504150,2876.073242,754.785461
143,0,-0.018219,0.017915,0.370445,0.928503,2066.042969,2876.155273,754.660645
144,0,-0.019399,0.017927,0.370185,0.928583,2065.697021,2876.217529,754.315918
145,0,-0.017595,0.017975,0.370669,0.928424,2065.296875,2876.224854,753.996948
146,0,-0.018471,0.018572,0.370210,0.928579,2065.519531,2876.309082,753.411194
147,0,-0.018131,0.019837,0.370071,0.928615,2065.803711,2876.385498,752.880554
148,0,-0.017167,0.021125,0.370054,0.928611,2066.121094,2876.430176,752.447083
149,0,-0.013117,0.022276,0.370810,0.928349,2066.177979,2876.390137,752.211609
150,0,-0.010100,0.023143,0.371420,0.928122,2066.370117,2876.386963,751.968872
151,0,-0.007827,0.023982,0.371812,0.927965,2066.531738,2876.410889,751.816345
152,0,-0.006211,0.024513,0.371977,0.927897,2066.686523,2876.433105,751.769043
153,0,-0.005040,0.025094,0.372042,0.927863,2066.755127,2876.442383,751.777222
154,0,0.002264,0.030865,0.371962,0.927732,2065.296875,2876.673096,751.462891
155,0,0.006678,0.034297,0.371813,0.927650,2064.758789,2876.729736,751.347534
156,0,0.006615,0.033865,0.372232,0.927498,2064.892822,2876.528564,751.324646
