timestamp,cpu_percent,ram_percent
1748077995,18.8,14.9895
1748077996,19.1,15.0026
1748077997,16.4,15.5581
1748077998,10,15.5799
1748077999,10.3,15.6068
1748078001,10.9,15.602
1748078002,9.4,15.613
1748078003,9.7,15.6382
1748078004,9.8,15.6261
1748078005,9.8,15.5796
1748078007,10.5,15.5858
1748078008,9.9,15.5798
1748078009,10.4,15.562
1748078010,11.9,15.5967
1748078011,10.4,15.5198
1748078012,10.2,15.547
1748078014,10,15.5825
1748078015,9.3,15.6028
1748078016,11.4,15.6222
1748078017,9.4,15.6284
1748078018,9.5,15.6055
1748078020,9.5,15.6188
1748078021,10,15.6338
1748078022,10.9,15.6227
1748078023,10.3,15.6344
1748078024,9.4,15.6375
1748078026,9.8,15.6502
1748078027,10.8,15.6559
1748078028,9.9,15.6202
1748078029,9.3,15.6046
1748078030,9.4,15.6366
1748078031,9.9,15.6196
1748078033,9.4,15.6548
1748078034,9.4,15.6442
1748078035,9.4,15.6553
1748078036,9.9,15.671
1748078037,9.9,15.6851
1748078039,10.3,15.6737
1748078040,10.4,15.6856
1748078041,9,15.6825
1748078042,9.3,15.695
1748078043,10.3,15.6579
1748078045,9.8,15.6699
1748078046,9.8,15.7283
1748078047,9.9,15.6953
1748078048,9.8,15.7318
1748078049,9.7,15.7687
1748078050,11.4,15.7422
1748078052,9.4,15.7406
1748078053,9,15.7471
1748078054,9.7,15.7188
1748078055,9.4,15.7269
1748078056,10.7,15.7256
1748078058,9.4,15.7366
1748078059,10.1,15.7622
1748078060,8.9,15.7471
1748078061,11.3,15.8297
1748078062,12.3,15.8546
1748078063,13.4,15.871
1748078065,10.7,15.8867
1748078066,10.3,15.9015
1748078067,13.3,15.9084
1748078068,14.1,15.9177
1748078069,13.4,15.9759
1748078071,14.7,15.9839
1748078072,17.6,15.9503
1748078073,15.3,15.9473
1748078074,14.8,15.9829
1748078075,14.8,16.0093
1748078077,13.8,16.0504
1748078078,15.3,16.0806
1748078079,14.7,16.0493
1748078080,14.3,16.0695
1748078081,13.9,16.1461
1748078082,15.8,16.161
1748078084,15.3,16.1779
1748078085,17.3,16.1666
1748078086,10,16.1768
1748078087,16.7,16.1878
1748078088,12.9,16.2389
1748078090,15.3,16.2111
1748078091,14.4,16.243
1748078092,15.3,16.2733
1748078093,15.3,16.2912
1748078094,15.3,16.3785
1748078096,16.3,16.3409
1748078097,14.9,16.3643
1748078098,16.9,16.3823
1748078099,15.3,16.3727
1748078100,16.7,16.4014
1748078101,13.4,16.4509
1748078103,14.8,16.4592
1748078104,18.4,16.6875
1748078105,15.7,16.6994
1748078106,15.8,16.7517
1748078107,15.2,16.7651
1748078109,13.4,16.7498
1748078110,17.2,16.7601
1748078111,12.9,16.775
1748078112,14.2,16.7274
1748078113,16.3,16.7262
1748078114,16.5,16.7297
1748078116,19.1,16.7004
1748078117,9.3,16.6978
1748078118,16.8,16.7017
1748078119,17.7,16.7062
1748078120,13.9,16.6912
1748078122,14.9,16.7578
1748078123,17.2,16.7179
1748078124,17.5,16.7305
1748078125,17.2,16.7484
1748078126,10.6,16.7609
1748078128,16.8,16.7608
1748078129,17.8,16.7702
1748078130,13.9,16.7852
1748078131,14.3,16.756
1748078132,15.4,16.7847
1748078133,14.8,16.8305
1748078135,11.4,16.8128
1748078136,17.8,16.8177
1748078137,13.5,16.8286
1748078138,14.1,16.8207
1748078139,17.7,16.8103
1748078141,16.8,16.87
1748078142,14.4,16.8826
1748078143,15.8,16.8494
1748078144,14.6,16.8637
1748078145,16.8,16.8809
1748078147,19,16.8653
1748078148,13.4,16.8696
1748078149,17.8,16.8891
1748078150,11.8,16.9387
1748078151,18.1,16.9227
1748078152,13.4,16.9793
1748078154,17.7,17.0444
